"도로명","링크아이디","시점명","종점명","거리","차선수","평균속도","좌표"
"광나루로","1004350700","성동교남단","성수중고교","675","3","42.480892049091146","LINESTRING(203889.754192 450232.800602, 203863.421519 450236.236817, 203831.142288 450236.236817, 203794.100547 450232.003475, 203756.529639 450222.478456, 203721.604569 450209.249263, 203555.445903 450136.224117, 203527.929182 450120.878253, 203493.53328 450096.00737, 203434.266494 450042.56143, 203412.04145 450021.394721, 203342.720478 449942.54873, 203322.082937 449917.677847)"
"광나루로","1004350800","성수중고교","성동교남단","667","2","26.719797947068614","LINESTRING(203330.549077 449911.148133, 203353.833 449939.373723, 203422.095637 450018.219714, 203449.612358 450044.678101, 203476.599912 450067.961481, 203500.41246 450089.657357, 203538.512536 450116.115744, 203565.50009 450131.461608, 203603.070999 450148.394975, 203690.912841 450187.553386, 203725.837911 450202.370083, 203763.937987 450215.070108, 203797.275554 450223.007624, 203830.61312 450227.240966, 203867.125693 450225.653463, 203890.036452 450222.089878)"
"광나루로","1030007700","응봉교","용비교동측","381","2","34.57432149257553","LINESTRING(203232.877315 449738.688798, 203199.641754 449721.891123, 203136.5819 449641.197009, 203085.279694 449589.332454, 202989.009268 449521.47646, 202977.098302 449511.302666, 202966.739844 449504.780673, 202952.544919 449500.944207, 202948.423434 449494.135075)"
"광나루로","1030007800","용비교동측","응봉교","374","2","27.34054659498208","LINESTRING(202991.143654 449474.098158, 202994.362399 449482.145524, 202985.922174 449499.025974, 202987.073113 449508.617139, 202993.584185 449516.560366, 203089.226359 449583.973538, 203141.769426 449637.092555, 203203.610235 449716.226727, 203234.453738 449731.815426)"
"광나루로","1030009500","성수중고교","응봉교","200","3","20.47716385048643","LINESTRING(203322.082937 449917.677847, 203299.857892 449883.281945, 203280.278686 449850.473546, 203248.969384 449792.131725, 203246.588129 449768.319178, 203235.29943 449739.877491)"
"광나루로","1030009600","응봉교","성수중고교","201","2","34.32581214797747","LINESTRING(203245.024821 449731.098402, 203251.747515 449766.334799, 203261.272534 449794.51298, 203287.157867 449842.53603, 203305.459697 449872.548069, 203330.549077 449911.148133)"
"광나루로","1030009900","화양사거리","성동세무서","421","3","33.38037810419867","LINESTRING(205960.978975 449875.808347, 205763.370268 449858.62046, 205663.255391 449854.543821, 205540.629605 449850.447658)"
"광나루로","1030010000","성동세무서","화양사거리","422","3","23.318660034242193","LINESTRING(205541.030227 449838.454347, 205663.699823 449842.551974, 205764.134703 449846.641643, 205962.018802 449863.853484)"
"광나루로","1030010100","치과의사회관앞","성동세무서","398","3","36.11090682603687","LINESTRING(205150.868498 449911.29796, 205193.876693 449896.183052, 205294.664322 449870.530086, 205365.499272 449858.513605, 205412.499014 449848.45488, 205496.827727 449841.449707, 205540.420066 449838.465017)"
"광나루로","1030010200","성동세무서","치과의사회관앞","395","3","31.489969598054273","LINESTRING(205541.239766 449850.436988, 205497.734333 449853.415728, 205414.25858 449860.350045, 205367.759478 449870.301625, 205297.15189 449882.279537, 205197.352869 449907.680877, 205154.847248 449922.619159)"
